cell,feature_set,model,MAE,RMSE,R2,skill_vs_persistence,n
train_all|eval_projection,autoregressive,random_forest,5.800206556291404,7.77893065479819,0.8258402355668852,-0.14901274949631835,5626
train_all|eval_projection,autoregressive,xgboost,5.709359653302032,7.722838501645444,0.8283428353645252,-0.13101610596750823,5626
train_all|eval_projection,autoregressive,lightgbm,5.696291349413762,7.679823833279205,0.8302497023613997,-0.1284272933733038,5626
train_all|eval_projection,drivers_only,decision_tree,11.789381879090065,16.053570893219625,0.2582606333590485,-1.335459945484532,5626
train_all|eval_projection,drivers_only,random_forest,10.581371045188654,14.331376347142863,0.4088688703617088,-1.096154700712372,5626
train_all|eval_projection,drivers_only,xgboost,10.369231945924113,13.922434236564127,0.44212310003792477,-1.0541302439355305,5626
train_all|eval_projection,drivers_only,lightgbm,10.560240674277035,13.980018331192317,0.43749872604433193,-1.0919688039958662,5626
train_all|eval_projection,nowcast,decision_tree,6.186746306071623,8.883774617707573,0.7728550465169933,-0.22558572950559683,5626
train_all|eval_projection,nowcast,random_forest,4.976307127611233,7.190793218391348,0.8511798873419916,0.01420056690349305,5626
train_all|eval_projection,nowcast,xgboost,5.216514296501271,7.602076020584831,0.833669288576154,-0.03338413493366725,5626
train_all|eval_projection,nowcast,lightgbm,5.216398404429594,7.4261270781413415,0.8412795880160544,-0.0333611768774963,5626
train_all|eval_projection,nowcast_change,decision_tree,5.759603157599685,8.103297570852535,0.8110131425238014,-0.14096927340337417,5626
train_all|eval_projection,nowcast_change,random_forest,4.609524156350622,6.653027531384625,0.8726066758991748,0.08685975691448597,5626
train_all|eval_projection,nowcast_change,xgboost,4.925302986413839,7.195899128793644,0.8509684692375066,0.024304415437878226,5626
train_all|eval_projection,nowcast_change,lightgbm,4.8774990107565666,6.9751740918188085,0.8599709534591181,0.033774315686040696,5626
